Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa de Lugo  45-47 ,15810 ,Arzúa ,A Coruña ,Galicia ,881 99 60 03  881 99 60 04 ,881 99 60 07 ,mixto1.arzua@xustiza.gal ,RODRIGUEZ CARLIN  MARIA EUGENIA
Juzgado de Violencia sobre la Mujer nº 1 ,Avda. Tomás García Figueras  14 ,11407 ,Jerez de la Frontera ,Cádiz ,Andalucía ,956 10 40 91  956 10 40 97 ,956 03 47 62 ,AtPublico.JViolencia.1.Jerez.JUS@juntadeandalucia.es ,LOPEZ-VIZCAINO CASTRO  RAQUEL
Juzgado de lo Penal nº 1 ,Avda. Alcalde Álvaro Domecq  1 ,11407 ,Jerez de la Frontera ,Cádiz ,Andalucía ,956 90 61 28  956 90 61 58 ,956 03 34 46 ,AtPublico.JPenal.1.Jerez.JUS@juntadeandalucia.es ,SALCEDO MARIN  EVA
Juzgado de lo Penal nº 2 ,Avda. Alcalde Álvaro Domecq  1 ,11407 ,Jerez de la Frontera ,Cádiz ,Andalucía ,956 90 61 04  956 90 61 09 ,956 03 34 70 ,AtPublico.JPenal.2.Jerez.JUS@juntadeandalucia.es ,ROA ALJAMA  JAVIER
Juzgado de lo Penal nº 3 ,Avda. Alcalde Álvaro Domecq  1 ,11407 ,Jerez de la Frontera ,Cádiz ,Andalucía ,956 90 61 20  956 90 61 25 ,956 03 34 13 ,AtPublico.JPenal.3.Jerez.JUS@juntadeandalucia.es ,GOMEZ SANTAMARIA  ELENA
Juzgado de Menores nº 3 ,Avda. Alcalde Álvaro Domecq  1 ,11407 ,Jerez de la Frontera ,Cádiz ,Andalucía ,956 90 61 83  956 90 60 54 ,956 03 34 20 ,AtPublico.JMenores.3.Cadiz.Jerez.JUS@juntadeandalucia.es ,MOYA MEDINA  JAIME
Juzgado de Primera Instancia e Instrucción nº 1 ,Avda. Menéndez Pelayo  s/n ,11300 ,Línea de la Concepción (La) ,Cádiz ,Andalucía ,956 90 81 59  956 90 81 61 ,956 78 41 03 ,AtPublico.JMixto.1.LaLinea.JUS@juntadeandalucia.es ,MERE BERMEJO  CRISTINA
Juzgado de Primera Instancia e Instrucción nº 2 ,Avda. Menéndez Pelayo  s/n ,11300 ,Línea de la Concepción (La) ,Cádiz ,Andalucía ,956 90 81 63  956 90 80 96 ,956 78 41 10 ,AtPublico.JMixto.2.LaLinea.JUS@juntadeandalucia.es ,LLOREDA SALGUERO  ALBERTO CARLOS
Juzgado de Primera Instancia e Instrucción nº 3 ,Avda. Menéndez Pelayo  s/n ,11300 ,Línea de la Concepción (La) ,Cádiz ,Andalucía ,956 90 81 42  956 90 81 70 ,956 78 41 17 ,AtPublico.JMixto.3.LaLinea.JUS@juntadeandalucia.es ,SERRANO ESTEBAN  ALBA
Juzgado de Primera Instancia e Instrucción nº 4 ,C/ Feria  2. Esquina ps. de la Velada ,11300 ,Línea de la Concepción (La) ,Cádiz ,Andalucía ,956 90 86 02  956 90 85 99 ,956 78 46 04 ,AtPublico.JMixto.4.LaLinea.JUS@juntadeandalucia.es ,LLAMAS SANCHEZ  MARTA
Juzgado de Primera Instancia e Instrucción nº 5 ,C/ Feria  2. Esquina ps. de la Velada ,11300 ,Línea de la Concepción (La) ,Cádiz ,Andalucía ,620 47 21 02  639 32 17 43 ,856 30 56 95 ,AtPublico.JMixto.5.LaLinea.JUS@juntadeandalucia.es ,RODRIGUEZ MORENO  PAULINO
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Dr. Duarte de Acosta  9 ,11500 ,Puerto de Santa María (El) ,Cádiz ,Andalucía ,956 90 12 71  956 90 12 73 ,956 20 37 83 ,AtPublico.JMixto.1.PSantaMaria.JUS@juntadeandalucia.es , 
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Dr. Duarte de Acosta  9 ,11500 ,Puerto de Santa María (El) ,Cádiz ,Andalucía ,956 90 12 76  956 90 13 02 ,956 20 37 37 ,AtPublico.JMixto.2.PSantaMaria.JUS@juntadeandalucia.es ,MERELLO MORAL  RODRIGO
Juzgado de Primera Instancia e Instrucción nº 3 ,C/ Dr. Duarte de Acosta  9 ,11500 ,Puerto de Santa María (El) ,Cádiz ,Andalucía ,956 90 13 11  956 90 13 27 ,956 20 37 51 ,AtPublico.JMixto.3.PSantaMaria.JUS@juntadeandalucia.es ,VIDAU TRIGO  RAQUEL
Juzgado de Primera Instancia e Instrucción nº 4 ,C/ Dr. Duarte de Acosta  9 ,11500 ,Puerto de Santa María (El) ,Cádiz ,Andalucía ,956 90 13 15  956 90 13 17 ,956 20 37 58 ,AtPublico.JMixto.4.PSantaMaria.JUS@juntadeandalucia.es ,LUCINI NIEVES  RAQUEL
Juzgado de Primera Instancia e Instrucción nº 5 ,C/ Dr. Duarte de Acosta  9 ,11500 ,Puerto de Santa María (El) ,Cádiz ,Andalucía ,956 90 13 21  956 90 13 24 ,956 20 37 81 ,AtPublico.JMixto.5.PSantaMaria.JUS@juntadeandalucia.es ,LLANOS CALERO  MANUEL RAMON
Juzgado de Vigilancia Penitenciaria nº 4 ,C/ Dr. Duarte de Acosta  9 ,11500 ,Puerto de Santa María (El) ,Cádiz ,Andalucía ,956 90 13 42  956 90 13 45 ,956 20 37 74 ,AtPublico.JVigilancia.4.PSantaMaria.JUS@juntadeandalucia.es ,DOMINGUEZ GONZALEZ  MARIA MATILDE
Juzgado de Vigilancia Penitenciaria nº 10 ,Avda. Ingeniero Félix Sánchez  3 (Polígono Las Salinas ) ,11500 ,Puerto de Santa María (El) ,Cádiz ,Andalucía ,956 20 21 50  956 20 21 51 ,956 54 76 47 ,AtPublico.JVigilancia.10.PSantaMaria.JUS@juntadeandalucia.es ,MARTIN-MORENO CALCERRADA  GLORIA
Juzgado de Primera Instancia e Instrucción nº 1 ,Avda. de la Constitución  2 ,11510 ,Puerto Real ,Cádiz ,Andalucía ,956 10 10 47  956 10 10 49 ,956 20 36 15 ,AtPublico.JMixto.1.PuertoReal.JUS@juntadeandalucia.es ,RICO FERNANDEZ  MARIA VANESA
Juzgado de Primera Instancia e Instrucción nº 2 ,Avda. de la Constitución  2 ,11510 ,Puerto Real ,Cádiz ,Andalucía ,956 10 10 53  956 10 10 84 ,956 20 36 20 ,AtPublico.JMixto.2.PuertoReal.JUS@juntadeandalucia.es ,JIMENEZ REY  JUAN LUIS
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Celestino Mutis  s/n ,11520 ,Rota ,Cádiz ,Andalucía ,856 58 00 03  856 58 00 15 ,956 24 31 58 ,AtPublico.JMixto.1.Rota.JUS@juntadeandalucia.es ,MOREIRA PEREZ  ANGEL DE LA CARIDAD
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Celestino Mutis  s/n ,11520 ,Rota ,Cádiz ,Andalucía ,856 58 00 17  856 58 00 27 ,956 24 34 26 ,AtPublico.JMixto.2.Rota.JUS@juntadeandalucia.es ,TOSCANO VALERO  FRANCISCO LUIS
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Real  229 ,11100 ,San Fernando ,Cádiz ,Andalucía ,956 90 20 63  956 90 20 65 ,956 20 30 33 ,AtPublico.JMixto.1.SanFernando.JUS@juntadeandalucia.es ,GUTIERREZ ALONSO  MARIA XIOMARA
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Real  229 ,11100 ,San Fernando ,Cádiz ,Andalucía ,956 90 20 68  956 90 20 71 ,956 20 30 40 ,AtPublico.JMixto.2.SanFernando.JUS@juntadeandalucia.es ,FERRER CASTAN  MARIA DEL MAR
Juzgado de Primera Instancia e Instrucción nº 3 ,C/ Real  229 ,11100 ,San Fernando ,Cádiz ,Andalucía ,956 90 20 84  956 90 20 85 ,956 20 30 48 ,AtPublico.JMixto.3.SanFernando.JUS@juntadeandalucia.es ,GUTIERREZ GIL  ROCIO
Juzgado de Primera Instancia e Instrucción nº 4 ,C/ Real  229 ,11100 ,San Fernando ,Cádiz ,Andalucía ,956 83 41 72  956 47 64 32 ,856 03 38 20 ,AtPublico.JMixto.4.SanFernando.JUS@juntadeandalucia.es ,CHERNE SERRAJON  EVA
Juzgado de Primera Instancia e Instrucción nº 1 ,Pza. de Antonio Pigafetta  s/n ,11540 ,Sanlúcar de Barrameda ,Cádiz ,Andalucía ,956 06 30 39  956 06 30 42 ,956 38 63 08 ,AtPublico.JMixto.1.SBarrameda.JUS@juntadeandalucia.es ,ARROYO PLASENCIA  CLARA
Juzgado de Primera Instancia e Instrucción nº 2 ,Pza. de Antonio Pigafetta  s/n ,11540 ,Sanlúcar de Barrameda ,Cádiz ,Andalucía ,956 06 30 45  956 06 30 75 ,956 38 63 39 ,AtPublico.JMixto.2.Sbarrameda.JUS@juntadeandalucia.es ,GARRUCHO CONTRERAS  LUZ DIVINA
Juzgado de Primera Instancia e Instrucción nº 3 ,Pza. de Antonio Pigafetta  s/n ,11540 ,Sanlúcar de Barrameda ,Cádiz ,Andalucía ,956 06 30 85  956 06 30 86 ,956 38 63 15 ,AtPublico.JMixto.3.Sbarrameda.JUS@juntadeandalucia.es ,CODES TRUJILLO  ALEXANDRE
Juzgado de Primera Instancia e Instrucción nº 4 ,Pza. de Antonio Pigafetta  s/n ,11540 ,Sanlúcar de Barrameda ,Cádiz ,Andalucía ,956 06 30 88  956 06 30 91 ,956 38 63 30 ,AtPublico.JMixto.4.Sbarrameda.JUS@juntadeandalucia.es ,MARTIN MILLAN  SARA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Batallón de Cazadores de Tarifa  s/n ,11360 ,San Roque ,Cádiz ,Andalucía ,956 90 85 92  956 90 85 98 ,956 67 03 41 ,AtPublico.JMixto.1.SanRoque.JUS@juntadeandalucia.es ,GALAN SANCHEZ  BLANCA
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Batallón de Cazadores de Tarifa  s/n ,11360 ,San Roque ,Cádiz ,Andalucía ,956 90 85 90  956 90 85 89 ,956 67 01 74 ,AtPublico.JMixto.2.SanRoque.JUS@juntadeandalucia.es ,SANTANA RODRIGUEZ  MARIA DE LOS ANGELES
Juzgado de Primera Instancia e Instrucción nº 3 ,C/ Batallón de Cazadores de Tarifa  s/n ,11360 ,San Roque ,Cádiz ,Andalucía ,956 65 21 60 ,956 66 04 42 ,AtPublico.JMixto.3.SanRoque.JUS@juntadeandalucia.es ,NUÑEZ GUTIERREZ  ANA BELEN
Juzgado de Primera Instancia e Instrucción Único ,C/ El Cano  s/n ,11600 ,Ubrique ,Cádiz ,Andalucía ,856 58 80 27  856 58 80 29 ,956 12 85 77 ,AtPublico.JMixto.1.Ubrique.JUS@juntadeandalucia.es ,MENDEZ DEL CASTILLO  PAULA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Nicolás Torre  8 ,39700 ,Castro-Urdiales ,Cantabria ,Cantabria ,942 86 13 99  942 86 11 12 ,942 87 10 08 ,juzgado.castrourdiales1@justicia.cantabria.es ,YUSTE FERNANDEZ  LAURA
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Nicolás Torre  8 ,39700 ,Castro-Urdiales ,Cantabria ,Cantabria ,942 86 17 74  942 86 19 19 ,942 87 29 31 ,juzgado.castrourdiales2@justicia.cantabria.es , 
Juzgado de Primera Instancia e Instrucción nº 3 ,C/ Nicolás Torre  8 ,39700 ,Castro-Urdiales ,Cantabria ,Cantabria ,942 86 96 90  942 86 80 02 ,942 86 18 16 ,juzgado.castrourdiales3@justicia.cantabria.es ,CEMBRANOS DIEZ  ANGEL GABRIEL
Juzgado de Primera Instancia e Instrucción nº 1 ,Avda. de España  8 ,39770 ,Laredo ,Cantabria ,Cantabria ,942 60 51 97  942 60 56 61 ,942 61 18 54 ,juzgado.laredo1@justicia.cantabria.es ,ORO GARNACHO  ELENA DE
Juzgado de Primera Instancia e Instrucción nº 2 ,Avda. de España  8 ,39770 ,Laredo ,Cantabria ,Cantabria ,942 60 53 96  942 60 54 53 ,942 61 33 00 ,juzgado.laredo2@justicia.cantabria.es ,POMPOSO ARRANZ  ANA CRISTINA
Juzgado de Primera Instancia e Instrucción nº 1 ,Ps. Santa Matilde  s/n ,39724 ,Medio Cudeyo ,Cantabria ,Cantabria ,942 52 08 12 ,942 52 01 81 ,juzgado.mediocudeyo1@justicia.cantabria.es ,GOROSTIZA ALVAREZ  MARIA VANESA
Juzgado de Primera Instancia e Instrucción nº 2 ,Ps. Santa Matilde  s/n ,39724 ,Medio Cudeyo ,Cantabria ,Cantabria ,942 52 26 92 ,942 52 08 23 ,juzgado.mediocudeyo2@justicia.cantabria.es ,LAGÜERA ESTEBANEZ  LORENA
Juzgado de Primera Instancia e Instrucción Único ,C/ Marqués de Reinosa  2 ,39200 ,Reinosa ,Cantabria ,Cantabria ,942 77 40 59  942 77 40 56 ,942 75 07 91 ,juzgado.reinosa@justicia.cantabria.es ,GONZALEZ GUTIERREZ  LARA
Tribunal Superior de Justicia Adscripción Territorial ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 32 03 97  942 34 69 69 ,942 34 26 87 ,Más información ,FIGUEROA GRAU  MARIA FERNANDA
Tribunal Superior de Justicia Presidencia ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 32 03 97  942 34 69 69 ,942 34 26 87 ,Más información ,LOPEZ DEL MORAL ECHEVERRIA  JOSE LUIS
Tribunal Superior de Justicia. Sala de lo Civil y Penal ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 71 22  942 34 69 69 ,942 34 26 87 ,tsj.salacivilpenal@justicia.cantabria.es ,HIDALGO BERMEJO  MARIA DE LA PAZ
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 71 24  942 34 69 69 ,942 34 26 87 ,tsj.salacontencioso@justicia.cantabria.es ,CASTANEDO GARCIA  MARIA ESTHER
Tribunal Superior de Justicia. Sala de lo Social ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 71 26  942 34 69 69 ,942 34 26 87 ,tsj.salasocial@justicia.cantabria.es ,FERNANDEZ GARCIA  MARIA JESUS
Audiencia Provincial Penal nº 1 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 71 20  942 34 69 69 ,942 32 24 91 ,audienciap.seccion1@justicia.cantabria.es ,ALDECOA ALVAREZ-SANTULLANO  PAZ MERCEDES
Audiencia Provincial Civil nº 2 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 71 23  942 34 69 69 ,942 35 71 42 ,audienciap.seccion2@justicia.cantabria.es ,FERNANDEZ DIEZ  MIGUEL CARLOS
Audiencia Provincial Penal nº 3 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 71 25  942 34 69 69 ,942 35 71 30 ,audienciap.seccion3@justicia.cantabria.es ,ALONSO ROCA  AGUSTIN
Audiencia Provincial Civil nº 4 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 71 37  942 34 69 69 ,942 35 71 43 ,audienciap.seccion4@justicia.cantabria.es ,ARIAS BERRIOATEGORTUA  BRUNO
Audiencia Provincial Presidencia ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 32 04 03  942 34 69 69 ,942 32 24 91 ,Más información ,ARSUAGA CORTAZAR  JOSE
Juzgado de Primera Instancia nº 1 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 70 18  942 35 71 15 ,942 35 70 19 ,juzgado.instancia1@justicia.cantabria.es ,GOMEZ HERNANDEZ  JAVIER
Juzgado de Primera Instancia nº 2 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 70 20  942 35 71 15 ,942 35 70 21 ,juzgado.instancia2@justicia.cantabria.es ,ANTA GONZALEZ  JAIME FRANCISCO
Juzgado de Primera Instancia nº 3 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 70 22  942 35 71 15 ,942 35 70 23 ,juzgado.instancia3@justicia.cantabria.es ,MARTINEZ LOPEZ  MARIA ROSA
Juzgado de Primera Instancia nº 4 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 70 24  942 35 71 15 ,942 35 70 25 ,juzgado.instancia4@justicia.cantabria.es ,GARCIA BARROS  JUSTO MANUEL
Juzgado de Primera Instancia nº 5 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 70 26  942 35 71 15 ,942 35 70 27 ,juzgado.instancia5@justicia.cantabria.es ,GOÑI IRIARTE  FERMIN JAVIER
Juzgado de Primera Instancia nº 6 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 71 11  942 35 71 15 ,942 35 71 50 ,juzgado.instancia6@justicia.cantabria.es ,CUEVAS RAMOS  LAURA
Juzgado de Primera Instancia nº 7 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 70 30  942 35 71 15 ,942 35 70 31 ,juzgado.instancia7@justicia.cantabria.es ,SANCHEZ GALL  JOSE LUIS
Juzgado de Primera Instancia nº 8 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 70 32  942 35 71 15 ,942 35 70 33 ,juzgado.instancia8@justicia.cantabria.es ,MORENO ESTEBAN  MARIA DEL CARMEN
Juzgado de Primera Instancia nº 9 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 70 34  942 35 71 15 ,942 35 70 35 ,juzgado.instancia9@justicia.cantabria.es ,SAN MIGUEL LASO  RAMON
Juzgado de Primera Instancia nº 10 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 70 40  942 35 71 15 ,942 35 70 41 ,juzgado.instancia10@justicia.cantabria.es ,LANDIN DIAZ DE CORCUERA  IÑIGO
Juzgado de Primera Instancia nº 11 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 70 38  942 35 71 15 ,942 35 70 39 ,juzgado.instancia11@justicia.cantabria.es ,SOLANA COBO  MARTA
Juzgado de Primera Instancia nº 12 ,C/ Gutiérrez Solana  s/n. Edif. Europa ,39011 ,Santander ,Cantabria ,Cantabria ,942 35 70 46 ,942 35 70 49 ,juzgado.instancia12@justicia.cantabria.es ,FRAILE SANCHEZ  MARIA EUGENIA
Juzgado de Instrucción nº 1 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 71 12  942 34 69 69 ,942 35 71 55 ,juzgado.instruccion1@justicia.cantabria.es ,PARRA ESPAÑOL  JAIME
Juzgado de Instrucción nº 2 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 71 13  942 34 69 69 ,942 35 71 56 ,juzgado.instruccion2@justicia.cantabria.es ,AGÜERO SEIJAS  MIGUEL ANGEL
Juzgado de Instrucción nº 3 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 71 03  942 34 69 69 ,942 35 71 57 ,juzgado.instruccion3@justicia.cantabria.es ,GARCIA BERNALTE  MARIA DEL PRADO
Juzgado de Instrucción nº 4 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 71 17  942 34 69 69 ,942 35 71 58 ,juzgado.instruccion4@justicia.cantabria.es ,GARCIA DELGADO  LUIS ENRIQUE
Juzgado de Instrucción nº 5 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 71 48  942 34 69 69 ,942 32 52 26 ,juzgado.instruccion5@justicia.cantabria.es ,COMPOSTIZO OLARTE  MERCEDES
Juzgado de lo Social nº 1 ,C/ Alta  18 ,39008 ,Santander ,Cantabria ,Cantabria ,942 24 81 04 ,942 24 81 22 ,juzgado.social1@justicia.cantabria.es ,FRANCISCO LOPEZ  CARLOS DE
Juzgado de lo Social nº 2 ,C/ Alta  18 ,39008 ,Santander ,Cantabria ,Cantabria ,942 24 81 05 ,942 24 81 18 ,juzgado.social2@justicia.cantabria.es ,PERCHIN BENITO  NURIA
Juzgado de lo Social nº 3 ,C/ Alta  18 ,39008 ,Santander ,Cantabria ,Cantabria ,942 24 81 06 ,942 24 81 29 ,juzgado.social3@justicia.cantabria.es ,RUEDA DIAZ DE RABAGO  PABLO
Juzgado de lo Social nº 4 ,C/ Alta  18 ,39008 ,Santander ,Cantabria ,Cantabria ,942 24 81 07 ,942 24 81 30 ,juzgado.social4@justicia.cantabria.es ,FERRER CORTINES  OSCAR
Juzgado de lo Social nº 5 ,C/ Alta  18 ,39008 ,Santander ,Cantabria ,Cantabria ,942 24 81 08 ,942 24 81 34 ,juzgado.social5@justicia.cantabria.es ,GIMENO LAHOZ  RAMON
Juzgado de lo Social nº 6 ,C/ Alta  18 ,39008 ,Santander ,Cantabria ,Cantabria ,942 24 81 37 ,942 24 81 38 ,juzgado.social6@justicia.cantabria.es ,RODRIGUEZ MACARENO  ISABEL
Juzgado de lo Contencioso-Administrativo nº 1 ,C/ Gutiérrez Solana  s/n. Edif. Europa ,39003 ,Santander ,Cantabria ,Cantabria ,942 36 73 23 ,942 36 73 25 ,juzgado.contencioso1@justicia.cantabria.es ,VAREA ORBEA  JUAN
Juzgado de lo Contencioso-Administrativo nº 2 ,C/ Gutiérrez Solana  s/n. Edif. Europa ,39003 ,Santander ,Cantabria ,Cantabria ,942 36 73 26 ,942 22 38 13 ,juzgado.contencioso2@justicia.cantabria.es ,SANCHEZ LAZARO  LUIS ACAYRO
Juzgado de lo Contencioso-Administrativo nº 3 ,C/ Gutiérrez Solana  s/n. Edif. Europa ,39003 ,Santander ,Cantabria ,Cantabria ,942 36 73 38 ,942 36 73 39 ,juzgado.contencioso3@justicia.cantabria.es ,ARAUJO RUGAMA  ANA ROSA
Juzgado de lo Mercantil nº 1 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 70 36  942 35 71 15 ,942 35 70 37 ,juzgado.mercantil1@justicia.cantabria.es , 
Juzgado de lo Mercantil nº 2 ,Santander ,Santander ,Santander ,Cantabria ,Cantabria ,Santander ,Santander ,Más información ,MARTINEZ DE MARIGORTA MENENDEZ  CARLOS
Juzgado de Violencia sobre la Mujer nº 1 ,Avda. Pedro San Martín  s/n ,39010 ,Santander ,Cantabria ,Cantabria ,942 35 71 09  942 34 69 69 ,942 35 71 10 ,juzgado.violenciamujer@justicia.cantabria.es ,VEGAS GARCIA  FERNANDO
Juzgado de lo Penal nº 1 ,C/ Alta  18 ,39008 ,Santander ,Cantabria ,Cantabria ,942 24 81 01 ,942 24 81 32 ,juzgado.penal1@justicia.cantabria.es ,BELLO BRUNA  MARIA SUSANA
Juzgado de lo Penal nº 2 ,C/ Alta  18 ,39008 ,Santander ,Cantabria ,Cantabria ,942 24 81 02 ,942 24 81 33 ,juzgado.penal2@justicia.cantabria.es ,HOYA COROMINA  JOSE
Juzgado de lo Penal nº 3 ,C/ Alta  18 ,39008 ,Santander ,Cantabria ,Cantabria ,942 24 81 03 ,942 24 81 17 ,juzgado.penal3@justicia.cantabria.es ,AJA LAVIN  EVA MARIA
Juzgado de lo Penal nº 4 ,C/ Alta  18 ,39008 ,Santander ,Cantabria ,Cantabria ,942 24 81 09 ,942 24 81 20 ,juzgado.penal4@justicia.cantabria.es ,MERCHAN GONZALEZ  AMAYA
Juzgado de lo Penal nº 5 ,C/ Alta  18 ,39008 ,Santander ,Cantabria ,Cantabria ,942 24 81 35 ,942 24 81 36 ,juzgado.penal5@justicia.cantabria.es ,MORALES GALINDO  ADELA
Juzgado de Vigilancia Penitenciaria nº 1 ,C/ Gutiérrez Solana  s/n. Edif. Europa ,39011 ,Santander ,Cantabria ,Cantabria ,942 36 73 53 ,942 36 73 54 ,juzgado.vpenitenciaria@justicia.cantabria.es ,ALFONSO LASO  DANIEL DE
Juzgado de Menores Único ,C/ Alta  18 ,39008 ,Santander ,Cantabria ,Cantabria ,942 24 81 11 ,942 24 81 16 ,juzgado.menores@justicia.cantabria.es ,NOGUES LINARES  CRISTINA
Juzgado de Primera Instancia e Instrucción nº 1 ,Pza. de la Villa  s/n ,39740 ,Santoña ,Cantabria ,Cantabria ,942 66 02 49  942 66 27 11 ,942 66 24 89 ,juzgado.santona1@justicia.cantabria.es ,GOMEZ GONZALEZ  ANA
Juzgado de Primera Instancia e Instrucción nº 2 ,Pza. de la Villa  s/n ,39740 ,Santoña ,Cantabria ,Cantabria ,942 66 08 93  942 66 29 69 ,942 67 16 17 ,juzgado.santona2@justicia.cantabria.es ,ARCAY GARCIA  CARLOS MIGUEL
Juzgado de Primera Instancia e Instrucción Único ,C/ Padre Antonio  22 ,39540 ,San Vicente de la Barquera ,Cantabria ,Cantabria ,942 71 00 17  942 71 24 48 ,942 71 00 60 ,juzgado.sanvicente@justicia.cantabria.es ,BARRANCOS JULIAN  MARIA LUCIA
Juzgado de Primera Instancia e Instrucción nº 1 ,Avda. de España  10 ,39300 ,Torrelavega ,Cantabria ,Cantabria ,942 84 64 01  942 84 64 18 ,942 84 64 21 ,juzgado.torrelavega1@justicia.cantabria.es ,FERNANDEZ DE LA VEGA  PABLO
Juzgado de Primera Instancia e Instrucción nº 2 ,Avda. de España  10 ,39300 ,Torrelavega ,Cantabria ,Cantabria ,942 84 64 02  942 84 64 18 ,942 84 64 22 ,juzgado.torrelavega2@justicia.cantabria.es ,QUINTANA NAVARRO  ENRIQUE
Juzgado de Primera Instancia e Instrucción nº 3 ,Avda. de España  10 ,39300 ,Torrelavega ,Cantabria ,Cantabria ,942 84 64 03  942 84 64 18 ,942 94 64 23 ,juzgado.torrelavega3@justicia.cantabria.es ,GARCIA HERNANDEZ  RAQUEL
Juzgado de Primera Instancia e Instrucción nº 4 ,Avda. de España  10 ,39300 ,Torrelavega ,Cantabria ,Cantabria ,942 84 64 04  942 84 64 18 ,942 84 64 24 ,juzgado.torrelavega4@justicia.cantabria.es ,BARTOLOME OBREGON  PATRICIA
Juzgado de Primera Instancia e Instrucción nº 5 ,Avda. de España  10 ,39300 ,Torrelavega ,Cantabria ,Cantabria ,942 84 64 05  942 84 64 18 ,942 84 64 25 ,juzgado.torrelavega5@justicia.cantabria.es ,CASAL TORRE  GUILLERMO
Juzgado de Primera Instancia e Instrucción nº 6 ,Avda. de España  10 ,39300 ,Torrelavega ,Cantabria ,Cantabria ,942 83 54 65  942 84 64 18 ,942 83 54 67 ,juzgado.torrelavega6@justicia.cantabria.es ,VIDAL QUINTANA  LUISA FERNANDA
Juzgado de Primera Instancia e Instrucción nº 7 ,Avda. de España  10 ,39300 ,Torrelavega ,Cantabria ,Cantabria ,942 81 20 19 ,942 81 20 18 ,juzgado.torrelavega7@justicia.cantabria.es ,GALLEGO MARTINEZ  JULIO LUIS
Audiencia Provincial Penal nº 1 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 16 06  964 62 16 07 ,964 62 19 05 ,csap01_cas@gva.es ,ALCACER MATEU  RAQUEL
Audiencia Provincial Penal nº 2 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 16 16  964 62 16 17 ,964 62 19 06 ,csap02_cas@gva.es ,ALTARES MEDINA  PEDRO JAVIER
